name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
Rice Chex,R,C,110,1,0,240,0,23,2,30,25,1,1,1.13,41.998933
Rice Krispies,K,C,110,2,0,290,0,22,3,35,25,1,1,1,40.560159
Ruskets,R,C,95,3,1.4,135,2,55,1,88,25,3,1,1.2,45.3782
Rye,A,C,250,4,2.4,0,24,118,1.8,150,50,1,1,0.5,56.8756
Sago,R,H,90,4,1.5,250,3,65,1,220,25,1,1,1,67.657
Semoline,A,C,140,5,2,130,2,30,0,270,50,2,1,1,30.45367
Shredded Wheat,N,C,80,2,0,0,3,16,0,95,0,1,0.83,1,68.235885
Shredded Wheat 'n'Bran,N,C,90,3,0,0,4,19,0,140,0,1,1,0.67,74.472949
Shredded Wheat spoon size,N,C,90,3,0,0,3,20,0,120,0,1,1,0.67,72.801787
Smacks,K,C,110,2,1,70,1,9,15,40,25,2,1,0.75,31.230054
Sorghum,G,C,155,5,1.5,0,3,35,0,2,75,3,1.5,0.5,68.5647
Special K,K,C,110,6,0,230,1,16,3,55,25,1,1,1,53.131324
Spelt,G,C,120,3,1,140,2,35,0,40,50,2,1,1,56.78998
Strawberry Fruit Wheats,N,C,90,2,0,15,3,15,5,90,25,2,1,1,59.363993
Teff,K,C,155,6,1.5,0,3.5,35,0,46,25,3,1,1,37.6347
Total Corn Flakes,G,C,110,2,1,200,0,21,3,35,100,3,1,1,38.839746
Total Raisin Bran,G,C,140,3,1,190,4,15,14,230,100,3,1.5,1,28.592785
Total Whole Grain,G,C,100,3,1,200,3,16,3,110,100,3,1,1,46.658844
Triples,G,C,110,2,1,250,0,21,3,60,25,3,1,0.75,39.106174
Triticals,P,C,140,6.5,1,221,1,40,2,160,25,2,1,1,54.7691
Trix,G,C,110,1,1,140,0,13,12,25,25,2,1,1,27.753301
Waffle Crisp,K,C,110,2,1,165,3.2,28,2,75,25,2,1,1,34.3251
Wheat Chex,R,C,100,3,1,230,3,17,3,115,25,1,1,0.67,49.787445
Wheaties,G,C,100,3,1,200,3,17,3,110,25,1,1,1,51.592193
Wheaties Honey Gold,G,C,110,2,1,200,1,16,8,60,25,1,1,0.75,36.187559
